LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,01/01/2017 00:19:00,,2280.00,1367.00,374.00,211.00,126.00,154.00,94.00,28.00,APPROVED
NE: LINCOLN,01/01/2017 01:19:00,,2297.00,1378.00,376.00,214.00,126.00,156.00,97.00,28.00,APPROVED
NE: LINCOLN,01/01/2017 02:19:00,,2303.00,1398.00,376.00,219.00,127.00,157.00,99.00,28.00,APPROVED
NE: LINCOLN,01/01/2017 03:20:00,,2321.00,1440.00,383.00,227.00,131.00,162.00,100.00,30.00,APPROVED
NE: LINCOLN,01/01/2017 04:20:00,,2354.00,1481.00,391.00,241.00,136.00,170.00,105.00,32.00,APPROVED
NE: LINCOLN,01/01/2017 05:20:00,,2368.00,1527.00,403.00,251.00,140.00,178.00,108.00,32.00,APPROVED
NE: LINCOLN,01/01/2017 06:20:00,,2372.00,1544.00,406.00,260.00,139.00,178.00,109.00,33.00,APPROVED
NE: LINCOLN,01/01/2017 07:20:00,,2386.00,1534.00,408.00,262.00,141.00,176.00,108.00,35.00,APPROVED
NE: LINCOLN,01/01/2017 08:21:00,,2380.00,1526.00,403.00,257.00,140.00,177.00,107.00,34.00,APPROVED
NE: LINCOLN,01/01/2017 09:21:00,,2406.00,1565.00,415.00,264.00,142.00,179.00,110.00,33.00,APPROVED
NE: LINCOLN,01/01/2017 10:21:00,,2410.00,1566.00,414.00,259.00,144.00,177.00,111.00,33.00,APPROVED
NE: LINCOLN,01/01/2017 11:21:00,,2457.00,1592.00,415.00,264.00,143.00,181.00,112.00,35.00,APPROVED
NE: LINCOLN,01/01/2017 12:21:00,,2489.00,1633.00,427.00,276.00,146.00,184.00,114.00,37.00,APPROVED
NE: LINCOLN,01/01/2017 13:22:00,,2564.00,1694.00,446.00,288.00,152.00,193.00,117.00,38.00,APPROVED
NE: LINCOLN,01/01/2017 14:22:00,,2549.00,1717.00,450.00,300.00,150.00,196.00,120.00,37.00,APPROVED
NE: LINCOLN,01/01/2017 15:22:00,,2529.00,1699.00,445.00,291.00,151.00,196.00,120.00,36.00,APPROVED
NE: LINCOLN,01/01/2017 16:22:00,,2509.00,1661.00,442.00,289.00,152.00,194.00,114.00,37.00,APPROVED
NE: LINCOLN,01/01/2017 17:23:00,,2496.00,1647.00,443.00,287.00,149.00,189.00,115.00,37.00,APPROVED
NE: LINCOLN,01/01/2017 18:23:00,,2474.00,1614.00,434.00,275.00,147.00,187.00,114.00,35.00,APPROVED
NE: LINCOLN,01/01/2017 19:23:00,,2426.00,1569.00,426.00,260.00,145.00,180.00,111.00,35.00,APPROVED
NE: LINCOLN,01/01/2017 20:23:00,,2359.00,1486.00,415.00,238.00,139.00,173.00,104.00,31.00,APPROVED
NE: LINCOLN,01/01/2017 21:23:00,,2306.00,1434.00,399.00,224.00,131.00,166.00,103.00,29.00,APPROVED
NE: LINCOLN,01/01/2017 22:24:00,,2348.00,1442.00,397.00,226.00,131.00,165.00,102.00,30.00,APPROVED
NE: LINCOLN,01/01/2017 23:24:00,,2388.00,1504.00,405.00,239.00,136.00,172.00,105.00,31.00,APPROVED
